SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
435505,0,Cash loans,F,N,N,0,67500.0,313438.5,16515.0,283500.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.016612,-20215,365243,-129.0,-3052,,1,0,0,1,0,0,,2.0,2,2,THURSDAY,16,0,0,0,0,0,0,XNA,,0.6378562637416866,0.633031641417419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
406189,0,Cash loans,F,N,N,1,171000.0,755190.0,36459.0,675000.0,Family,Working,Secondary / secondary special,Single / not married,With parents,0.035792,-9880,-313,-183.0,-2548,,1,1,0,1,0,0,Core staff,2.0,2,2,THURSDAY,13,0,0,0,0,0,0,Kindergarten,0.2351027640967897,0.2448195406724222,,0.0577,0.0,0.9737,0.6396,0.0027,0.0,0.069,0.125,0.1667,0.0223,0.0454,0.0313,0.0077,0.0051,0.0588,0.0,0.9737,0.6537,0.0027,0.0,0.069,0.125,0.1667,0.0228,0.0496,0.0326,0.0078,0.0054,0.0583,0.0,0.9737,0.6444,0.0027,0.0,0.069,0.125,0.1667,0.0227,0.0462,0.0318,0.0078,0.0052,reg oper account,block of flats,0.0257,"Stone, brick",No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
177313,0,Cash loans,M,Y,Y,0,225000.0,810000.0,31522.5,810000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.015221,-13872,-2909,-104.0,-4364,11.0,1,1,0,1,0,0,Drivers,2.0,2,2,TUESDAY,8,0,0,0,0,0,0,Self-employed,,0.4988374368678222,0.5691487713619409,0.0825,0.0523,0.9916,0.8844,0.0,0.08,0.069,0.375,0.4167,0.0197,0.0664,0.0507,0.0039,0.0011,0.084,0.0543,0.9916,0.8889,0.0,0.0806,0.069,0.375,0.4167,0.0201,0.0725,0.0529,0.0039,0.0011,0.0833,0.0523,0.9916,0.8859,0.0,0.08,0.069,0.375,0.4167,0.02,0.0676,0.0516,0.0039,0.0011,reg oper account,block of flats,0.0677,Panel,No,5.0,0.0,5.0,0.0,-640.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
230411,0,Cash loans,M,Y,Y,0,171000.0,521280.0,27423.0,450000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.010032,-12654,-370,-1031.0,-4997,5.0,1,1,0,1,0,0,High skill tech staff,2.0,2,2,WEDNESDAY,9,0,0,0,0,1,1,Business Entity Type 3,0.4203362119686888,0.5590625349031344,0.6801388218428291,0.0804,,0.9866,,,,0.2414,0.1667,,,,,,,0.0819,,0.9866,,,,0.2414,0.1667,,,,,,,0.0812,,0.9866,,,,0.2414,0.1667,,,,,,,,block of flats,0.0643,"Stone, brick",No,3.0,1.0,3.0,0.0,-319.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
432947,0,Cash loans,F,Y,Y,0,135000.0,135000.0,14539.5,135000.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,0.010006,-21986,365243,-9064.0,-4578,11.0,1,0,0,1,1,0,,1.0,2,2,WEDNESDAY,10,0,0,0,0,0,0,XNA,0.4983741452057422,0.4912885335982796,0.4471785780453068,0.0082,0.0,0.9781,0.7008,0.0007,0.0,0.0345,0.0417,0.0833,0.0058,0.0067,0.0067,0.0,0.0,0.0084,0.0,0.9782,0.7125,0.0008,0.0,0.0345,0.0417,0.0833,0.006,0.0073,0.0069999999999999,0.0,0.0,0.0083,0.0,0.9781,0.7048,0.0008,0.0,0.0345,0.0417,0.0833,0.0059,0.0068,0.0069,0.0,0.0,not specified,block of flats,0.0057,Wooden,No,3.0,0.0,3.0,0.0,-1780.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
439616,0,Cash loans,F,Y,Y,0,1350000.0,277969.5,18094.5,229500.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.014464,-10864,-866,-4559.0,-3279,13.0,1,1,0,1,1,0,High skill tech staff,1.0,2,2,FRIDAY,3,0,0,0,0,0,0,Self-employed,0.4392956484183013,0.5038505019111407,0.4884551844437485,0.1392,0.1149,0.9891,0.8504,0.0,0.0,0.3103,0.1667,0.2083,0.0837,0.1135,0.1245,0.0,0.0045,0.1418,0.1192,0.9891,0.8563,0.0,0.0,0.3103,0.1667,0.2083,0.0856,0.124,0.1297,0.0,0.0048,0.1405,0.1149,0.9891,0.8524,0.0,0.0,0.3103,0.1667,0.2083,0.0851,0.1154,0.1267,0.0,0.0046,reg oper account,block of flats,0.0975,"Stone, brick",No,0.0,0.0,0.0,0.0,-1600.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
130273,0,Cash loans,F,Y,Y,0,225000.0,1797354.0,47542.5,1606500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.032561,-18062,-5378,-6220.0,-1599,8.0,1,1,0,1,1,0,Core staff,2.0,1,1,MONDAY,12,0,0,0,0,1,1,Police,,0.6152561252889169,0.7421816117614419,0.268,0.1943,0.9816,0.7484,,0.28,0.2414,0.3333,,0.1342,,0.2712,,0.018,0.2731,0.2017,0.9816,0.7583,,0.282,0.2414,0.3333,,0.1372,,0.2825,,0.019,0.2706,0.1943,0.9816,0.7518,,0.28,0.2414,0.3333,,0.1365,,0.276,,0.0184,,block of flats,0.2172,Panel,No,0.0,0.0,0.0,0.0,-1561.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
248996,1,Cash loans,F,Y,Y,0,90000.0,400500.0,18670.5,400500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018209,-22482,365243,-3610.0,-2743,25.0,1,0,0,1,0,0,,2.0,3,3,TUESDAY,3,0,0,0,1,0,0,XNA,,0.0046024516386154,0.2881295999178507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,-229.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
209287,0,Cash loans,F,N,N,0,135000.0,585000.0,24916.5,585000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,Municipal apartment,0.018801,-11943,-4019,-5122.0,-3412,,1,1,0,1,0,0,Core staff,1.0,2,2,SATURDAY,11,0,0,0,0,0,0,Business Entity Type 3,,0.5388042551813823,0.5370699579791587,,,0.9747,,,,,,,,,0.0481,,,,,0.9747,,,,,,,,,0.0501,,,,,0.9747,,,,,,,,,0.049,,,,,0.0606,,No,1.0,1.0,1.0,1.0,-1542.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
210138,0,Cash loans,M,N,Y,1,382500.0,900000.0,50256.0,900000.0,Unaccompanied,State servant,Higher education,Married,Office apartment,0.018209,-12514,-2508,-1581.0,-622,,1,1,0,1,0,0,Managers,3.0,3,3,MONDAY,11,0,0,0,0,0,0,Military,,0.5066656343429834,0.6347055309763198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,0.0,-1226.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
